Year;Moskovskay;Tverskay;Leningradskay;Novgorodskay;Pskovskay
1990;721;868;772;837;857
1995;729;862;762;825;842
2000;656;759;659;730;744
2003;604;693;599;669;678
2004;591;675;584;653;661
2005;589;661;576;640;648
2010;613;694;624;695;690
2011;623;713;638;718;711
2012;636;735;653;748;736
2013;653;759;671;779;762
2014;673;785;693;808;789
2015;698;814;724;841;820
2016;719;840;745;871;842
2017;738;863;761;899;864
2018;754;882;771;921;886
2019;724;843;734;882;847
2020;724;849;677;879;852
2021;688;804;641;829;807
2022;703;817;656;834;823
