Year;Moskovskay;Tverskay;Leningradskay;Novgorodskay;Pskovskay
1990;6710213;1664673;1671237;752632;843524
1991;6719677;1655855;1677035;750360;840298
1992;6711729;1644359;1679691;747885;836869
1993;6690811;1633530;1678312;744533;834105
1994;6674551;1624324;1679369;740731;831083
1995;6665991;1616855;1684076;737455;828160
1996;6658948;1605807;1687281;733516;823404
1997;6657430;1591551;1691022;730610;816817
1998;6655334;1575181;1693135;727876;808856
1999;6640830;1555223;1690003;722290;798924
2000;6620819;1531687;1683540;714405;787531
2001;6611296;1505510;1676526;705563;775739
2002;6613019;1478524;1669928;696495;763884
2003;6644102;1456696;1670218;687551;752433
2004;6704033;1440218;1677366;678742;740634
2005;6760297;1423942;1683411;670068;727644
2006;6815337;1407059;1688244;661600;714502
2007;6871095;1392899;1691844;654891;703913
2008;6926692;1381183;1695738;648784;694962
2009;6991111;1370372;1701902;642532;686113
2010;7065211;1357707;1711743;636247;676582
2011;7174980;1345945;1730578;631019;668329
2012;7314618;1337546;1755561;627075;661855
2013;7452612;1328694;1779030;622979;655040
2014;7593006;1318823;1799173;618968;648226
2015;7736019;1308195;1815090;615244;641655
2016;7882899;1298683;1831618;611800;635720
2017;8024182;1287871;1856619;606830;629302
2018;8160757;1273914;1892426;600353;621620
2019;8303032;1261790;1932223;594934;614979
2020;8404864;1249405;1964107;590559;608791
2021;8489558;1233938;1991648;584936;600992
2022;8566996;1218611;2014894;578752;592342
